"depth_chart_position","full_name","gsis_id","team","Total_touches","Total_HVT","TRAP","total_fantasy_points","total_fantasy_points_exp","games","season","ppg","xppg","HVT_perc","Rank","HVT_per_game","Touches_per_game"
"RB","Leonard Fournette","00-0033856","BUF",12,2,0.833333333333333,4,8.91,2,"2023",2,4.455,0.166666666666667,"Other",1,6
"RB","Deon Jackson","00-0036493","NYG",19,7,0.631578947368421,4,18.66,2,"2023",2,9.33,0.368421052631579,"Other",3.5,9.5
"RB","Elijah Dotson","00-0038862","LAC",6,2,0.666666666666667,3.9,4.97,1,"2023",3.9,4.97,0.333333333333333,"Other",2,6
"RB","Jake Funk","00-0036860","DET",3,1,0.666666666666667,3.2,2.49,1,"2023",3.2,2.49,0.333333333333333,"Other",1,3
"RB","Kenyan Drake","00-0033118","GB",4,2,0.5,3.1,5.13,2,"2023",1.55,2.565,0.5,"Other",1,2
"RB","Anthony McFarland","00-0036336","PIT",2,2,0,3.1,2.93,1,"2023",3.1,2.93,1,"Other",2,2
"RB","Bam Knight","00-0037157","DET",4,1,0.75,3.1,3.28,2,"2023",1.55,1.64,0.25,"Other",0.5,2
"RB","Derrick Gore","00-0035715","WAS",3,1,0.666666666666667,2.6,3.72,2,"2023",1.3,1.86,0.333333333333333,"Other",0.5,1.5
"RB","Devine Ozigbo","00-0035184","DET",4,1,0.75,2.3,3.05,1,"2023",2.3,3.05,0.25,"Other",1,4
"RB","Chris Evans","00-0036857","CIN",3,1,0.666666666666667,2.1,2.58,1,"2023",2.1,2.58,0.333333333333333,"Other",1,3
"RB","Tyrion Davis-Price","00-0037827","SF",6,0,1,2.1,2.61,1,"2023",2.1,2.61,0,"Other",0,6
"RB","Zach Evans","00-0039136","LA",9,0,1,1.9,4.23,4,"2023",0.475,1.0575,0,"Other",0,2.25
"RB","Evan Hull","00-0038397","IND",2,1,0.5,1.7,2.02,1,"2023",1.7,2.02,0.5,"Other",1,2
"RB","Kene Nwangwu","00-0036842","MIN",5,0,1,1.3,2.42,3,"2023",0.433333333333333,0.806666666666667,0,"Other",0,1.66666666666667
"RB","Jonathan Ward","00-0035924","TEN",3,0,1,1.1,1.58,1,"2023",1.1,1.58,0,"Other",0,3
"RB","James Robinson","00-0035831","NO",2,1,0.5,1,2.04,1,"2023",1,2.04,0.5,"Other",1,2
"RB","Jonathan Williams","00-0032975","WAS",1,0,1,-0.2,1.96,1,"2023",-0.2,1.96,0,"Other",0,1
