"depth_chart_position","full_name","gsis_id","team","Total_touches","Total_HVT","total_fantasy_points","total_fantasy_points_exp","games","season","ppg","xppg","Touch_type","percentage","label_y","Rank"
"RB","Kenneth Walker","00-0038134","SEA",248,48,199.4,194.51,15,"2023",13.2933333333333,12.9673333333333,"HVT_perc",0.193548387096774,0.903225806451613,"RB2"
"RB","D'Andre Swift","00-0036275","PHI",268,66,199.3,216.62,16,"2023",12.45625,13.53875,"TRAP",0.753731343283582,0.376865671641791,"RB2"
"RB","D'Andre Swift","00-0036275","PHI",268,66,199.3,216.62,16,"2023",12.45625,13.53875,"HVT_perc",0.246268656716418,0.876865671641791,"RB2"
"RB","Brian Robinson","00-0037746","WAS",214,49,198.1,166.93,15,"2023",13.2066666666667,11.1286666666667,"TRAP",0.771028037383178,0.385514018691589,"RB2"
"RB","Brian Robinson","00-0037746","WAS",214,49,198.1,166.93,15,"2023",13.2066666666667,11.1286666666667,"HVT_perc",0.228971962616822,0.885514018691589,"RB2"
"RB","Jaylen Warren","00-0037228","PIT",210,69,196.4,189.43,17,"2023",11.5529411764706,11.1429411764706,"TRAP",0.671428571428571,0.335714285714286,"RB2"
"RB","Jaylen Warren","00-0037228","PIT",210,69,196.4,189.43,17,"2023",11.5529411764706,11.1429411764706,"HVT_perc",0.328571428571429,0.835714285714286,"RB2"
"RB","Najee Harris","00-0036893","PIT",284,52,195.5,198.23,17,"2023",11.5,11.6605882352941,"TRAP",0.816901408450704,0.408450704225352,"RB2"
"RB","Najee Harris","00-0036893","PIT",284,52,195.5,198.23,17,"2023",11.5,11.6605882352941,"HVT_perc",0.183098591549296,0.908450704225352,"RB2"
"RB","De'Von Achane","00-0039040","MIA",130,38,190.7,130.26,11,"2023",17.3363636363636,11.8418181818182,"TRAP",0.707692307692308,0.353846153846154,"RB2"
"RB","De'Von Achane","00-0039040","MIA",130,38,190.7,130.26,11,"2023",17.3363636363636,11.8418181818182,"HVT_perc",0.292307692307692,0.853846153846154,"RB2"
"RB","Gus Edwards","00-0034184","BAL",210,42,187,165.48,17,"2023",11,9.73411764705882,"TRAP",0.8,0.4,"RB3"
"RB","Gus Edwards","00-0034184","BAL",210,42,187,165.48,17,"2023",11,9.73411764705882,"HVT_perc",0.2,0.9,"RB3"
"RB","Austin Ekeler","00-0033699","LAC",230,75,184.2,232.86,14,"2023",13.1571428571429,16.6328571428571,"TRAP",0.673913043478261,0.33695652173913,"RB3"
"RB","Austin Ekeler","00-0033699","LAC",230,75,184.2,232.86,14,"2023",13.1571428571429,16.6328571428571,"HVT_perc",0.326086956521739,0.83695652173913,"RB3"
"RB","Chuba Hubbard","00-0036555","CAR",277,56,182.5,188.85,17,"2023",10.7352941176471,11.1088235294118,"TRAP",0.797833935018051,0.398916967509025,"RB3"
"RB","Chuba Hubbard","00-0036555","CAR",277,56,182.5,188.85,17,"2023",10.7352941176471,11.1088235294118,"HVT_perc",0.202166064981949,0.898916967509025,"RB3"
"RB","Josh Jacobs","00-0035700","LV",270,59,181.1,219.34,13,"2023",13.9307692307692,16.8723076923077,"TRAP",0.781481481481481,0.390740740740741,"RB3"
"RB","Josh Jacobs","00-0035700","LV",270,59,181.1,219.34,13,"2023",13.9307692307692,16.8723076923077,"HVT_perc",0.218518518518519,0.890740740740741,"RB3"
"RB","Javonte Williams","00-0036997","DEN",264,64,179.2,215.36,16,"2023",11.2,13.46,"TRAP",0.757575757575758,0.378787878787879,"RB3"
"RB","Javonte Williams","00-0036997","DEN",264,64,179.2,215.36,16,"2023",11.2,13.46,"HVT_perc",0.242424242424242,0.878787878787879,"RB3"
"RB","Ezekiel Elliott","00-0033045","NE",235,62,174.5,185.6,17,"2023",10.2647058823529,10.9176470588235,"TRAP",0.736170212765957,0.368085106382979,"RB3"
"RB","Ezekiel Elliott","00-0033045","NE",235,62,174.5,185.6,17,"2023",10.2647058823529,10.9176470588235,"HVT_perc",0.263829787234043,0.868085106382979,"RB3"
"RB","Zack Moss","00-0036251","IND",210,48,169.6,165.35,14,"2023",12.1142857142857,11.8107142857143,"TRAP",0.771428571428571,0.385714285714286,"RB3"
