season,week,posteam,game_id,player_id,season_player_id,full_name,position,pass_yards_gained,pass_touchdown,pass_interception,pass_two_point_conv,receptions,rec_attempt,rec_yards_gained,rec_touchdown,rec_fumble_lost,rec_two_point_conv,rush_attempt,rush_yards_gained,rush_touchdown,rush_two_point_conv,rush_fumble_lost,total_fantasy_points,half_ppg,round,pick
2015,15,,,00-0031585,2015 00-0031585,MyCole Pruitt,TE,,,,,,,,,,,,,,,,0,,5,143
2015,16,,,00-0031585,2015 00-0031585,MyCole Pruitt,TE,,,,,,,,,,,,,,,,0,,5,143
2022,4,,,00-0037838,2022 00-0037838,Isaiah Likely,TE,,,,,,,,,,,,,,,,0,,4,139
2022,14,,,00-0037838,2022 00-0037838,Isaiah Likely,TE,,,,,,,,,,,,,,,,0,,4,139
2016,1,,,00-0032429,2016 00-0032429,Jerell Adams,TE,,,,,,,,,,,,,,,,0,,6,184
2016,2,,,00-0032429,2016 00-0032429,Jerell Adams,TE,,,,,,,,,,,,,,,,0,,6,184
2016,3,,,00-0032429,2016 00-0032429,Jerell Adams,TE,,,,,,,,,,,,,,,,0,,6,184
2016,4,,,00-0032429,2016 00-0032429,Jerell Adams,TE,,,,,,,,,,,,,,,,0,,6,184
2016,12,,,00-0032429,2016 00-0032429,Jerell Adams,TE,,,,,,,,,,,,,,,,0,,6,184
2016,17,,,00-0032429,2016 00-0032429,Jerell Adams,TE,,,,,,,,,,,,,,,,0,,6,184
2015,,,,00-0032064,2015 00-0032064,DeAndre Smelter,RB,,,,,,,,,,,,,,,,0,,4,132
2015,,,,00-0032064,2015 00-0032064,DeAndre Smelter,RB,,,,,,,,,,,,,,,,0,,4,132
2015,,,,00-0032064,2015 00-0032064,DeAndre Smelter,RB,,,,,,,,,,,,,,,,0,,4,132
2015,,,,00-0032064,2015 00-0032064,DeAndre Smelter,RB,,,,,,,,,,,,,,,,0,,4,132
2015,,,,00-0032064,2015 00-0032064,DeAndre Smelter,RB,,,,,,,,,,,,,,,,0,,4,132
2015,,,,00-0032064,2015 00-0032064,DeAndre Smelter,RB,,,,,,,,,,,,,,,,0,,4,132
2015,,,,00-0032064,2015 00-0032064,DeAndre Smelter,RB,,,,,,,,,,,,,,,,0,,4,132
2015,,,,00-0032064,2015 00-0032064,DeAndre Smelter,RB,,,,,,,,,,,,,,,,0,,4,132
2015,,,,00-0032064,2015 00-0032064,DeAndre Smelter,RB,,,,,,,,,,,,,,,,0,,4,132
2015,,,,00-0032064,2015 00-0032064,DeAndre Smelter,RB,,,,,,,,,,,,,,,,0,,4,132
2015,,,,00-0032064,2015 00-0032064,DeAndre Smelter,RB,,,,,,,,,,,,,,,,0,,4,132
2015,,,,00-0032064,2015 00-0032064,DeAndre Smelter,RB,,,,,,,,,,,,,,,,0,,4,132
2015,,,,00-0032064,2015 00-0032064,DeAndre Smelter,RB,,,,,,,,,,,,,,,,0,,4,132
2015,,,,00-0032064,2015 00-0032064,DeAndre Smelter,RB,,,,,,,,,,,,,,,,0,,4,132
2015,,,,00-0032064,2015 00-0032064,DeAndre Smelter,RB,,,,,,,,,,,,,,,,0,,4,132
2015,,,,00-0032064,2015 00-0032064,DeAndre Smelter,RB,,,,,,,,,,,,,,,,0,,4,132
2016,1,,,00-0032775,2016 00-0032775,Demarcus Robinson,WR,,,,,,,,,,,,,,,,0,,4,126
2016,2,,,00-0032775,2016 00-0032775,Demarcus Robinson,WR,,,,,,,,,,,,,,,,0,,4,126
2016,3,,,00-0032775,2016 00-0032775,Demarcus Robinson,WR,,,,,,,,,,,,,,,,0,,4,126
2016,4,,,00-0032775,2016 00-0032775,Demarcus Robinson,WR,,,,,,,,,,,,,,,,0,,4,126
2016,6,,,00-0032775,2016 00-0032775,Demarcus Robinson,WR,,,,,,,,,,,,,,,,0,,4,126
2016,7,,,00-0032775,2016 00-0032775,Demarcus Robinson,WR,,,,,,,,,,,,,,,,0,,4,126
2016,8,,,00-0032775,2016 00-0032775,Demarcus Robinson,WR,,,,,,,,,,,,,,,,0,,4,126
2016,9,,,00-0032775,2016 00-0032775,Demarcus Robinson,WR,,,,,,,,,,,,,,,,0,,4,126
2016,10,,,00-0032775,2016 00-0032775,Demarcus Robinson,WR,,,,,,,,,,,,,,,,0,,4,126
2016,11,,,00-0032775,2016 00-0032775,Demarcus Robinson,WR,,,,,,,,,,,,,,,,0,,4,126
2016,12,,,00-0032775,2016 00-0032775,Demarcus Robinson,WR,,,,,,,,,,,,,,,,0,,4,126
2016,13,,,00-0032775,2016 00-0032775,Demarcus Robinson,WR,,,,,,,,,,,,,,,,0,,4,126
2016,14,,,00-0032775,2016 00-0032775,Demarcus Robinson,WR,,,,,,,,,,,,,,,,0,,4,126
2016,15,,,00-0032775,2016 00-0032775,Demarcus Robinson,WR,,,,,,,,,,,,,,,,0,,4,126
2016,16,,,00-0032775,2016 00-0032775,Demarcus Robinson,WR,,,,,,,,,,,,,,,,0,,4,126
2016,17,,,00-0032775,2016 00-0032775,Demarcus Robinson,WR,,,,,,,,,,,,,,,,0,,4,126
2017,,,,,2017 ,Malachi Dupre,WR,,,,,,,,,,,,,,,,0,,7,247
2017,,,,,2017 ,Malachi Dupre,WR,,,,,,,,,,,,,,,,0,,7,247
2017,,,,,2017 ,Malachi Dupre,WR,,,,,,,,,,,,,,,,0,,7,247
2017,,,,,2017 ,Malachi Dupre,WR,,,,,,,,,,,,,,,,0,,7,247
2017,,,,,2017 ,Malachi Dupre,WR,,,,,,,,,,,,,,,,0,,7,247
2017,,,,,2017 ,Malachi Dupre,WR,,,,,,,,,,,,,,,,0,,7,247
2017,,,,,2017 ,Malachi Dupre,WR,,,,,,,,,,,,,,,,0,,7,247
2017,,,,,2017 ,Malachi Dupre,WR,,,,,,,,,,,,,,,,0,,7,247
2017,,,,,2017 ,Malachi Dupre,WR,,,,,,,,,,,,,,,,0,,7,247
2017,,,,,2017 ,Malachi Dupre,WR,,,,,,,,,,,,,,,,0,,7,247
2017,,,,,2017 ,Malachi Dupre,WR,,,,,,,,,,,,,,,,0,,7,247
2017,,,,,2017 ,Malachi Dupre,WR,,,,,,,,,,,,,,,,0,,7,247
2017,,,,,2017 ,Malachi Dupre,WR,,,,,,,,,,,,,,,,0,,7,247
2017,,,,,2017 ,Malachi Dupre,WR,,,,,,,,,,,,,,,,0,,7,247
2017,,,,,2017 ,Malachi Dupre,WR,,,,,,,,,,,,,,,,0,,7,247
2017,,,,,2017 ,Malachi Dupre,WR,,,,,,,,,,,,,,,,0,,7,247
2021,,,,,2021 ,Javian Hawkins,RB,,,,,,,,,,,,,,,,0,,8,300
2021,,,,,2021 ,Javian Hawkins,RB,,,,,,,,,,,,,,,,0,,8,300
2021,,,,,2021 ,Javian Hawkins,RB,,,,,,,,,,,,,,,,0,,8,300
2021,,,,,2021 ,Javian Hawkins,RB,,,,,,,,,,,,,,,,0,,8,300
2021,,,,,2021 ,Javian Hawkins,RB,,,,,,,,,,,,,,,,0,,8,300
2021,,,,,2021 ,Javian Hawkins,RB,,,,,,,,,,,,,,,,0,,8,300
2021,,,,,2021 ,Javian Hawkins,RB,,,,,,,,,,,,,,,,0,,8,300
2021,,,,,2021 ,Javian Hawkins,RB,,,,,,,,,,,,,,,,0,,8,300
2021,,,,,2021 ,Javian Hawkins,RB,,,,,,,,,,,,,,,,0,,8,300
2021,,,,,2021 ,Javian Hawkins,RB,,,,,,,,,,,,,,,,0,,8,300
2021,,,,,2021 ,Javian Hawkins,RB,,,,,,,,,,,,,,,,0,,8,300
2021,,,,,2021 ,Javian Hawkins,RB,,,,,,,,,,,,,,,,0,,8,300
2021,,,,,2021 ,Javian Hawkins,RB,,,,,,,,,,,,,,,,0,,8,300
2021,,,,,2021 ,Javian Hawkins,RB,,,,,,,,,,,,,,,,0,,8,300
2021,,,,,2021 ,Javian Hawkins,RB,,,,,,,,,,,,,,,,0,,8,300
2021,,,,,2021 ,Javian Hawkins,RB,,,,,,,,,,,,,,,,0,,8,300
2021,,,,,2021 ,Javian Hawkins,RB,,,,,,,,,,,,,,,,0,,2,57
2021,,,,00-0036849,2021 00-0036849,Tutu Atwell,WR,,,,,,,,,,,,,,,,0,,2,57
2021,,,,00-0036849,2021 00-0036849,Tutu Atwell,WR,,,,,,,,,,,,,,,,0,,2,57
2021,,,,00-0036849,2021 00-0036849,Tutu Atwell,WR,,,,,,,,,,,,,,,,0,,2,57
2021,,,,00-0036849,2021 00-0036849,Tutu Atwell,WR,,,,,,,,,,,,,,,,0,,2,57
2021,,,,00-0036849,2021 00-0036849,Tutu Atwell,WR,,,,,,,,,,,,,,,,0,,2,57
2021,,,,00-0036849,2021 00-0036849,Tutu Atwell,WR,,,,,,,,,,,,,,,,0,,2,57
2021,,,,00-0036849,2021 00-0036849,Tutu Atwell,WR,,,,,,,,,,,,,,,,0,,2,57
2021,,,,00-0036849,2021 00-0036849,Tutu Atwell,WR,,,,,,,,,,,,,,,,0,,2,57
2023,4,,,00-0038951,2023 00-0038951,Sean Tucker,RB,,,,,,,,,,,,,,,,0,,8,300
2023,6,,,00-0038951,2023 00-0038951,Sean Tucker,RB,,,,,,,,,,,,,,,,0,,8,300
2023,7,,,00-0038951,2023 00-0038951,Sean Tucker,RB,,,,,,,,,,,,,,,,0,,8,300
2023,8,,,00-0038951,2023 00-0038951,Sean Tucker,RB,,,,,,,,,,,,,,,,0,,8,300
2023,9,,,00-0038951,2023 00-0038951,Sean Tucker,RB,,,,,,,,,,,,,,,,0,,8,300
2023,10,,,00-0038951,2023 00-0038951,Sean Tucker,RB,,,,,,,,,,,,,,,,0,,8,300
2023,11,,,00-0038951,2023 00-0038951,Sean Tucker,RB,,,,,,,,,,,,,,,,0,,8,300
2023,12,,,00-0038951,2023 00-0038951,Sean Tucker,RB,,,,,,,,,,,,,,,,0,,8,300
2023,13,,,00-0038951,2023 00-0038951,Sean Tucker,RB,,,,,,,,,,,,,,,,0,,8,300
2023,14,,,00-0038951,2023 00-0038951,Sean Tucker,RB,,,,,,,,,,,,,,,,0,,8,300
2023,15,,,00-0038951,2023 00-0038951,Sean Tucker,RB,,,,,,,,,,,,,,,,0,,8,300
2023,16,,,00-0038951,2023 00-0038951,Sean Tucker,RB,,,,,,,,,,,,,,,,0,,8,300
2023,17,,,00-0038951,2023 00-0038951,Sean Tucker,RB,,,,,,,,,,,,,,,,0,,8,300
2023,18,,,00-0038951,2023 00-0038951,Sean Tucker,RB,,,,,,,,,,,,,,,,0,,8,300
2015,1,,,00-0032200,2015 00-0032200,Ty Montgomery,WR,,,,,,,,,,,,,,,,0,,3,94
2015,2,,,00-0032200,2015 00-0032200,Ty Montgomery,WR,,,,,,,,,,,,,,,,7.7,,3,94
2015,3,,,00-0032200,2015 00-0032200,Ty Montgomery,WR,,,,,,,,,,,,,,,,9.4,,3,94
2015,4,,,00-0032200,2015 00-0032200,Ty Montgomery,WR,,,,,,,,,,,,,,,,5.5,,3,94
2015,5,,,00-0032200,2015 00-0032200,Ty Montgomery,WR,,,,,,,,,,,,,,,,15.9,,3,94
2015,6,,,00-0032200,2015 00-0032200,Ty Montgomery,WR,,,,,,,,,,,,,,,,3.5,,3,94
,,,,, ,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,,
